Country,Year,GDP,GDP Per Capita,GDP PPP,GDP PPP Per Capita,Access to electricity (% of population),Population,Life Expectancy,Health Percentage Expenditure,Total Health Expenditure,Adult Mortality,Infant Deaths per 1000 population,Under-Five Deaths per 1000,Hepatitis B Immunisation,Polio Immunisation (%),Measles Reported Cases per 1000 population,Average Body Mass Index,Diphtheria Immunisation (%),HIV/AIDS Deaths per 1000 population,Country Classification
Afghanistan,2000,,,,,0.959755898,20779957,54.8,10.42496,8.2,333.875,88,122,62,24,6532,12.2,24,0.1,Least Developed Country
Afghanistan,2001,2461665938,113.9291364,,,0.776536942,21606992,56.5,10.5747282,7.8,327.741,88,122,63,35,8762,12.6,33,0.1,Least Developed Country
Afghanistan,2002,4128820723,182.6849259,18973027429,839.4857375,6.267393589,22600774,57.4,16.88735091,7.76,321.607,88,122,64,36,2486,13,36,0.1,Least Developed Country
Afghanistan,2003,4583644246,193.5589382,21032245383,888.15337,11.75196648,23680871,58,11.08905273,8.82,314.533,87,122,65,41,798,13.4,41,0.1,Least Developed Country
Afghanistan,2004,5285465686,213.7554966,21903906005,885.8406398,17.23631859,24726689,58.4,15.29606643,8.79,307.459,87,120,67,5,466,13.8,5,0.1,Least Developed Country
Afghanistan,2005,6275073572,244.6014871,25122565906,979.2740931,23,25654274,58.9,1.388647732,8.7,300.386,85,118,66,58,1296,14.2,58,0.1,Least Developed Country
Afghanistan,2006,7057598407,266.9989377,27269473534,1031.642784,28.2286129,26433058,59.2,17.17151751,7.43,293.312,84,116,64,58,1990,14.7,58,0.1,Least Developed Country
Afghanistan,2007,9843842455,363.2341543,31873654690,1176.126097,33.74868011,27100542,59.6,10.91015598,6.73,286.238,82,113,63,63,1141,15.2,63,0.1,Least Developed Country
Afghanistan,2008,10190529882,367.5934849,33769009351,1218.117995,42.4,27722281,60.2,25.87392536,8.33,281.258,80,110,64,64,1599,15.7,64,0.1,Least Developed Country
Afghanistan,2009,12486943506,439.7615362,41304884284,1454.663373,44.8548851,28394806,60.7,56.76221682,9.42,276.279,77,106,63,63,2861,16.2,63,0.1,Least Developed Country
Afghanistan,2010,15936800636,546.0517939,47787706704,1637.377763,42.7,29185511,61.2,79.67936736,9.2,271.299,74,102,66,66,1989,16.7,66,0.1,Least Developed Country
Afghanistan,2011,17930239400,595.3446463,48993947132,1626.764901,43.22201891,30117411,61.7,7.097108703,7.87,266.32,71,97,68,68,3013,17.2,68,0.1,Least Developed Country
Afghanistan,2012,20536542737,659.038337,56301250158,1806.763814,69.1,31161378,62.2,78.1842153,8.52,261.34,69,93,67,67,2787,17.6,67,0.1,Least Developed Country
Afghanistan,2013,20046334304,621.2143712,60497916496,1874.76546,67.259552,32269592,62.7,73.21924272,8.13,257.135,66,89,64,62,430,18.1,64,0.1,Least Developed Country
Afghanistan,2014,20050189882,600.8302911,63321947173,1897.525369,89.5,33370804,63,73.52358168,8.18,252.93,64,86,62,58,492,18.6,62,0.1,Least Developed Country
Afghanistan,2015,19215562179,558.3711237,64927903090,1886.692977,71.5,34413603,63.2,71.27962362,8.16,248.724,62,83,65,6,1154,19.1,65,0.1,Least Developed Country
Albania,2000,3632043908,1160.677015,11927765515,3811.705924,100,3129246,73.1,91.71154052,6.26,124.34,1,1,96,97,662,45,97,0.1,Developing Country
Albania,2001,4060758804,1297.490976,13162883698,4205.795921,100,3129701,74,96.20557078,6,119.071,1,1,96,97,18,46,97,0.1,Developing Country
Albania,2002,4435078648,1418.688109,14221891223,4549.283015,100,3126183,73.5,104.5169157,6.3,113.802,1,1,96,98,16,46.9,98,0.1,Developing Country
Albania,2003,5746945913,1843.141302,15181419279,4868.934095,100,3118017,72.9,14.71928882,6.27,112.225,1,1,97,97,8,47.9,97,0.1,Developing Country
Albania,2004,7314865176,2355.915381,16414419615,5286.629721,100,3104893,73.3,221.8428,6.38,110.647,1,1,99,98,7,48.9,97,0.1,Developing Country
Albania,2005,8158548717,2643.035599,17663293361,5722.183536,100,3086810,73.5,26.99312143,6.12,109.069,1,1,98,97,6,49.9,98,0.1,Developing Country
Albania,2006,8992642349,2935.873554,19630459706,6408.855736,100,3063021,73.9,3.3021542,5.86,107.492,1,1,98,97,68,5.8,97,0.1,Developing Country
Albania,2007,10701011897,3527.039086,21610743514,7122.87191,100,3033993,74.1,32.24655228,6.1,105.914,1,1,98,99,22,51.7,98,0.1,Developing Country
Albania,2008,12881352688,4289.947586,24251602592,8076.644318,100,3002683,74.2,36.62206845,5.87,101.527,1,1,99,99,0,52.6,99,0.1,Developing Country
Albania,2009,12044212904,4051.138464,25805526262,8679.833283,100,2973044,74.4,348.0559517,5.79,97.139,1,1,98,98,0,53.5,98,0.1,Developing Country
Albania,2010,11926953259,4045.738105,28046641296,9513.692469,100,2948029,74.7,41.82275719,5.34,92.752,1,1,99,99,10,54.3,99,0.1,Developing Country
Albania,2011,12890867539,4401.715201,29655511080,10126.16983,100,2928601,75.1,437.0621,5.71,88.365,0,1,99,99,28,55.1,99,0.1,Developing Country
Albania,2012,12319784787,4227.659599,30530303813,10476.78463,100,2914091,75.2,412.4433563,5.59,83.977,0,1,99,99,9,55.8,99,0.1,Developing Country
Albania,2013,12776277515,4399.865801,30604048365,10539.35355,100,2903788,75.7,430.8769785,5.66,82.646,0,1,99,99,0,56.5,99,0.1,Developing Country
Albania,2014,13228244357,4567.279766,32529074567,11231.22465,100,2896307,76.1,428.7490668,5.88,81.315,0,1,98,98,0,57.2,98,0.1,Developing Country
Albania,2015,11335264967,3921.525982,33594846193,11622.40694,100,2890524,76.1,364.9752287,6,79.984,0,0,99,99,0,58,99,0.1,Developing Country
Algeria,2000,54790245601,1765.022406,2.53E+11,8162.586784,98.96515656,31042238,70.8,154.4559436,3.49,158.714,21,25,,86,0,44.4,86,0.1,Developing Country
Algeria,2001,54744714396,1740.606705,2.67E+11,8480.070728,98.94402313,31451513,71.2,147.9860714,3.84,153.697,20,24,,89,2686,45.3,89,0.1,Developing Country
Algeria,2002,56760288974,1781.826808,2.86E+11,8981.348985,98.91053772,31855110,71.7,148.5119843,3.73,148.681,20,23,,86,5862,46.1,86,0.1,Developing Country
Algeria,2003,67863829880,2103.381337,3.12E+11,9682.475435,98.87077332,32264159,72,25.0185226,3.6,143.544,20,23,,87,15374,47,87,0.1,Developing Country
Algeria,2004,85324998814,2609.95349,3.35E+11,10234.93404,98.83078766,32692153,72.8,220.393699,3.54,138.407,19,23,81,86,3289,47.9,86,0.1,Developing Country
Algeria,2005,1.03198E+11,3113.095026,3.65E+11,11022.1488,98.79664612,33149720,73.4,2.548922758,3.24,133.27,19,22,83,88,2302,48.9,88,0.1,Developing Country
Algeria,2006,1.17027E+11,3478.709919,3.83E+11,11380.09273,98.77441406,33641007,74,270.2401962,3.36,128.134,20,23,8,95,944,49.8,95,0.1,Developing Country
Algeria,2007,1.34977E+11,3950.513143,4.06E+11,11897.10243,98.7701416,34166976,74.4,320.3239241,3.82,122.997,20,23,9,95,0,5.8,95,0.1,Developing Country
Algeria,2008,1.71001E+11,4923.631385,4.24E+11,12218.04879,99.3,34730604,74.8,43.08717334,4.2,120.793,20,23,91,92,217,51.8,93,0.1,Developing Country
Algeria,2009,1.37211E+11,3883.271017,4.34E+11,12294.61214,98.82767487,35333882,75.1,352.0636419,5.36,118.589,20,23,94,94,107,52.8,95,0.1,Developing Country
Algeria,2010,1.61207E+11,4480.786275,4.55E+11,12655.13882,98.88497162,35977451,75.4,430.7175861,5.12,116.385,21,24,95,95,103,53.9,95,0.1,Developing Country
Algeria,2011,2.00019E+11,5455.843203,4.78E+11,13046.13065,98.95729828,36661438,75.6,509.0020405,5.29,114.181,21,24,95,95,112,55,95,0.1,Developing Country
Algeria,2012,2.09059E+11,5592.220115,5.04E+11,13482.7168,98.76466047,37383899,75.8,555.9260834,6.14,111.978,21,24,95,95,18,56.1,95,0.1,Developing Country
Algeria,2013,2.09755E+11,5499.587331,5.27E+11,13823.82715,99.13498688,38140135,75.9,544.4507432,7.12,110.382,21,24,95,95,25,57.2,95,0.1,Developing Country
Algeria,2014,2.1381E+11,5493.056631,5.58E+11,14326.28264,99.23434448,38923688,76.1,54.2373183,7.21,108.786,21,24,95,95,0,58.4,95,0.1,Developing Country
Algeria,2015,1.65874E+11,4175.24787,5.84E+11,14711.22271,99.33670807,39728020,76.2,0,,107.191,21,24,95,95,63,59.5,95,0.1,Developing Country
Angola,2000,9129594819,556.8361822,50781818083,3097.306537,22.84335518,16395477,47.3,15.88149254,2.79,408.217,97,160,,3,2219,15.4,28,2,Least Developed Country
Angola,2001,8936063723,527.3335285,54078410874,3191.266323,20,16945753,48.2,30.35993647,5.38,397.919,97,159,,41,9046,15.8,38,2.1,Least Developed Country
Angola,2002,12497346670,713.3425705,62440884509,3564.095823,24.93909454,17519418,49.4,24.037942,3.63,387.622,96,157,,37,11945,16.3,41,2.3,Least Developed Country
Angola,2003,14188949191,782.9907678,65502029873,3614.607676,25.97450829,18121477,50.5,35.93349121,4.41,376.772,95,155,,4,1196,16.8,4,2.4,Least Developed Country
Angola,2004,19640848729,1047.057481,74632978885,3978.698679,27.00970078,18758138,51.5,8.8667775,4.71,365.922,94,152,,4,29,17.2,4,2.5,Least Developed Country
Angola,2005,28233712831,1452.829482,88523668697,4555.185374,28.05073547,19433604,52.7,98.19145117,4.1,355.073,92,148,,39,258,17.7,38,2.6,Least Developed Country
